"Fazenda";"Estrato";"Talhao";"Plantio";"Id_Amostra";"Material_Genetico";"Idade (anos)";"Data_Medicao";"Data_Plantio";"Area_Plantio (ha)";"Amostra";"MAC";"DAP (cm)";"Altura_Instalacao (m)";"Altura (m)";"VICC (m3)";"VISC (m3)";"g (m2)";"Coordenada_X";"Coordenada_Y";"Dap_Estimado"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,57";"01/02/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,1408";"15,00";"15,00000";"0,06790";"0,05610";"0,00970";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,59";"10/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,2895";"";"15,24340";"0,07080";"0,05860";"0,01000";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,59";"11/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3060";"";"15,27030";"0,07110";"0,05890";"0,01000";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"12/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3225";"";"15,29720";"0,07140";"0,05920";"0,01010";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"13/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3390";"";"15,32400";"0,07170";"0,05940";"0,01010";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"14/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3555";"";"15,35080";"0,07210";"0,05970";"0,01010";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,6";"15/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3720";"";"15,37750";"0,07240";"0,06000";"0,01020";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,61";"16/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,3885";"";"15,40430";"0,07270";"0,06030";"0,01020";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,61";"17/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4051";"";"15,43090";"0,07300";"0,06060";"0,01020";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,61";"18/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4216";"";"15,45760";"0,07340";"0,06090";"0,01020";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,62";"19/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4381";"";"15,48420";"0,07370";"0,06120";"0,01030";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,62";"20/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4546";"";"15,51080";"0,07400";"0,06150";"0,01030";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,62";"21/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4711";"";"15,53740";"0,07430";"0,06180";"0,01030";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,62";"22/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,4876";"";"15,56390";"0,07470";"0,06200";"0,01040";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,63";"23/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,5041";"";"15,59040";"0,07500";"0,06230";"0,01040";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,63";"24/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,5207";"";"15,61690";"0,07530";"0,06260";"0,01040";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,63";"25/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,5372";"";"15,64330";"0,07570";"0,06290";"0,01050";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,63";"26/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,5537";"";"15,66980";"0,07600";"0,06320";"0,01050";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,64";"27/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,5702";"";"15,69610";"0,07630";"0,06350";"0,01050";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,64";"28/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,5867";"";"15,72250";"0,07670";"0,06380";"0,01050";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,64";"29/02/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,6032";"";"15,74880";"0,07700";"0,06410";"0,01060";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,65";"01/03/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,6197";"";"15,77510";"0,07730";"0,06440";"0,01060";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,65";"02/03/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,6363";"";"15,80130";"0,07770";"0,06470";"0,01060";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,65";"03/03/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,6528";"";"15,82750";"0,07800";"0,06500";"0,01070";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,65";"04/03/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"11,6693";"";"15,85370";"0,07830";"0,06530";"0,01070";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,66";"05/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,6858";"";"15,87990";"0,07870";"0,06560";"0,01070";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,66";"06/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,6953";"";"15,89500";"0,07890";"0,06580";"0,01070";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,66";"07/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,7144";"";"15,92510";"0,07930";"0,06610";"0,01080";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,66";"08/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,7240";"";"15,94020";"0,07950";"0,06630";"0,01080";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,67";"09/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,7431";"";"15,97030";"0,07990";"0,06660";"0,01080";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,67";"10/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,7622";"";"16,00040";"0,08020";"0,06700";"0,01090";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,67";"11/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,7717";"";"16,01540";"0,08040";"0,06720";"0,01090";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,68";"12/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,7908";"";"16,04550";"0,08080";"0,06750";"0,01090";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,68";"13/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,8099";"";"16,07540";"0,08120";"0,06790";"0,01100";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,68";"14/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,8290";"";"16,10540";"0,08160";"0,06820";"0,01100";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,68";"15/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,8386";"";"16,12030";"0,08180";"0,06840";"0,01100";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,69";"16/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,8577";"";"16,15020";"0,08220";"0,06880";"0,01100";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,69";"17/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,8672";"";"16,16510";"0,08240";"0,06890";"0,01110";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,69";"18/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,8768";"";"16,18000";"0,08260";"0,06910";"0,01110";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,69";"19/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,8863";"";"16,19490";"0,08280";"0,06930";"0,01110";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,7";"20/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9054";"";"16,22470";"0,08320";"0,06960";"0,01110";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,7";"21/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9150";"";"16,23950";"0,08340";"0,06980";"0,01120";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,7";"22/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9245";"";"16,25440";"0,08360";"0,07000";"0,01120";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,71";"23/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9341";"";"16,26920";"0,08380";"0,07020";"0,01120";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,71";"24/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9436";"";"16,28410";"0,08400";"0,07040";"0,01120";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,71";"25/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9532";"";"16,29890";"0,08420";"0,07050";"0,01120";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,71";"26/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9723";"";"16,32850";"0,08470";"0,07090";"0,01130";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,72";"27/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"11,9818";"";"16,34330";"0,08490";"0,07110";"0,01130";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,72";"28/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0009";"";"16,37290";"0,08530";"0,07140";"0,01130";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,72";"29/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0200";"";"16,40240";"0,08570";"0,07180";"0,01130";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,72";"30/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0296";"";"16,41710";"0,08590";"0,07200";"0,01140";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,73";"31/03/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0487";"";"16,44660";"0,08630";"0,07240";"0,01140";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,73";"01/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0678";"";"16,47600";"0,08670";"0,07270";"0,01140";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,73";"02/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0678";"";"16,47600";"0,08670";"0,07270";"0,01140";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,74";"03/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0773";"";"16,49070";"0,08690";"0,07290";"0,01150";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,74";"04/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,74";"05/04/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,74";"06/04/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,75";"07/04/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,75";"08/04/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,75";"09/04/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,75";"10/04/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,76";"11/04/2024";"09/07/2022";"37,20";" 1";"Dado Estimado";"12,0849";"";"16,50230";"0,08710";"0,07310";"0,01150";"-39,45669619";"-16,05417287";"True"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,77";"15/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8212";"";"17,60340";"0,10370";"0,08790";"0,01290";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,78";"18/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8403";"";"17,63120";"0,10410";"0,08830";"0,01290";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,79";"21/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8403";"";"17,63120";"0,10410";"0,08830";"0,01290";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,79";"24/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8594";"";"17,65890";"0,10460";"0,08870";"0,01300";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,8";"27/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8594";"";"17,65890";"0,10460";"0,08870";"0,01300";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,81";"30/04/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8690";"";"17,67280";"0,10480";"0,08890";"0,01300";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,82";"03/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8690";"";"17,67280";"0,10480";"0,08890";"0,01300";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,83";"06/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8785";"";"17,68660";"0,10500";"0,08910";"0,01300";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,83";"09/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8785";"";"17,68660";"0,10500";"0,08910";"0,01300";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,84";"12/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8880";"";"17,70040";"0,10530";"0,08930";"0,01300";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,85";"15/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,8976";"";"17,71430";"0,10550";"0,08950";"0,01310";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,86";"18/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,9167";"";"17,74190";"0,10590";"0,08990";"0,01310";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,87";"21/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,9167";"";"17,74190";"0,10590";"0,08990";"0,01310";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,88";"24/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,9167";"";"17,74190";"0,10590";"0,08990";"0,01310";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,88";"27/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,9262";"";"17,75560";"0,10620";"0,09010";"0,01310";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,89";"30/05/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,9358";"";"17,76940";"0,10640";"0,09040";"0,01310";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,9";"02/06/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,9453";"";"17,78320";"0,10660";"0,09060";"0,01320";"-39,45669619";"-16,05417287";"False"
"34 - 2024 Jatobá_007-01";"22 - 2024 Jatobá 007-01";"007-01";"007-01";"9f126d41-d976-02cb-df60-bd6c62c059fa";"2123";"1,91";"05/06/2024";"09/07/2022";"37,20";" 1";"C00C1D00059F";"12,9453";"";"17,78320";"0,10660";"0,09060";"0,01320";"-39,45669619";"-16,05417287";"False"
